date,ticker,close_1245,morning_high,morning_low,vwap,prev_close,day_return,afternoon_return,recent_return,raw_rs,RS,score,long_rs_ok,long_breakout,long_candidate,short_rs_ok,short_breakdown,short_candidate,selected_side,entry_1250,post_1250_high,post_1250_low,close_1545,long_tp_hit,long_sl_hit,short_tp_hit,short_sl_hit,hypothetical_result,long_return_1250_1545,short_return_1250_1545,breakout_pct
2026-08-21,3092.T,1131.0,1137.5,1129.0,1133.1574471467177,1126.0,0.0044404973357015,0.0008849557522123,-0.0008833922261484,-0.0079295154185021,41.6058394160584,57.2992700729927,False,False,False,False,False,False,,1131.0,1134.5,1129.5,1134.5,False,False,False,False,,0.0030946065428822,-0.0030850594975759,
2026-08-21,3099.T,3482.0,3528.0,3483.0,3499.047554871005,3531.0,-0.0138770886434438,-0.0017201834862384,-0.0022922636103152,-0.0821419287756693,21.16788321167883,24.014598540145982,False,False,False,True,True,True,,3482.0,3495.0,3458.0,3464.0,False,False,False,False,,-0.0051694428489373,0.0051963048498844,
2026-08-21,3382.T,2036.5,2051.0,2014.5,2034.7647382385296,2032.5,0.0019680196801967,0.00024557956778,0.0004912797838367,-0.0284416826003823,32.846715328467155,53.43065693430657,False,False,False,False,False,False,,2036.5,2043.5,2031.5,2037.5,False,False,False,False,,0.0004910385465259,-0.0004907975460122,
2026-08-21,3401.T,1738.0,1754.0,1731.5,1741.4811557788944,1735.5,0.0014405070584846,-0.0002876042565429,-0.0002876042565429,0.0146156094709148,51.09489051094891,53.86861313868613,False,False,False,False,False,False,,1738.0,1750.0,1736.0,1745.5,False,False,False,False,,0.0043153049482163,-0.0042967631051274,
2026-08-21,3402.T,1290.5,1296.5,1286.5,1291.4507708252363,1301.0,-0.0080707148347425,-0.0015473887814313,-0.0003872966692486,0.1124412141941,83.94160583941606,54.48905109489051,True,False,False,False,False,False,,1290.5,1306.0,1290.0,1303.0,False,False,False,False,,0.0096861681518791,-0.0095932463545663,
2026-08-21,3407.T,1637.0,1637.5,1620.0,1633.524006824275,1634.0,0.0018359853121174,0.0,-0.0012202562538132,-0.1200861604738826,9.48905109489051,40.18248175182482,False,False,False,True,False,False,,1637.0,1644.0,1632.5,1636.5,False,False,False,False,,-0.0003054367745876,0.0003055300947143,
2026-08-21,3436.T,3386.0,3374.0,3256.0,3323.0178574362176,3456.0,-0.0202546296296296,0.0137724550898203,-0.0002952465308532,-0.0869220607661822,18.97810218978102,42.992700729927,False,True,False,True,False,False,,3385.0,3410.0,3357.0,3392.0,False,False,False,False,,0.0020679468242246,-0.002063679245283,
2026-08-21,3659.T,3066.0,3167.0,3061.0,3105.128098918084,3048.0,0.0059055118110236,-0.0026024723487313,-0.0013029315960911,0.3674293405114401,98.54014598540148,64.92700729927007,True,False,False,False,False,False,,3065.0,3105.0,3059.0,3099.0,False,False,False,False,,0.0110929853181076,-0.0109712810584059,
2026-08-21,3861.T,864.2999877929688,873.5,861.4000244140625,868.5681243079049,861.4000244140625,0.0033665698824176,-0.0019630625947243,-0.0012711307950777,0.0040797294561105,45.25547445255474,47.992700729927,False,False,False,False,False,False,,864.2999877929688,866.9000244140625,862.5,865.4000244140625,False,False,False,False,,0.0012727486250494,-0.0012711307950777,
2026-08-21,4004.T,16115.0,16200.0,15855.0,16054.61763730799,15945.0,0.0106616494198807,0.0009316770186336,0.000620925178516,0.0455737704918033,64.96350364963503,71.45985401459853,False,False,False,False,False,False,,16115.0,16255.0,16005.0,16085.0,False,False,False,False,,-0.0018616196090598,0.0018650917003419,
2026-08-21,4005.T,549.2999877929688,547.7000122070312,526.7999877929688,544.2584518278536,522.2999877929688,0.0516944296975598,0.0023722404981181,0.0016410710044512,-0.0468978324945825,26.277372262773724,69.85401459854015,False,True,False,True,False,False,,549.2999877929688,560.7999877929688,548.4000244140625,559.9000244140625,True,False,False,True,,0.0192973545542638,-0.0189320167152818,
2026-08-21,4021.T,7926.0,8162.0,7822.0,7939.482673267326,8162.0,-0.0289144817446703,-0.0047714716223004,-0.0020146058927222,0.0355239786856127,59.85401459854016,25.51094890510949,False,False,False,False,False,False,,7923.0,7971.0,7915.0,7955.0,False,False,False,False,,0.0040388741638268,-0.0040226272784412,
2026-08-21,4042.T,2641.5,2652.5,2632.0,2642.2151360544217,2658.0,-0.0062076749435665,-0.0001892505677516,-0.0009455370650529,-0.0544290288153681,23.35766423357664,38.43065693430657,False,False,False,True,False,False,,2641.5,2653.0,2638.0,2646.5,False,False,False,False,,0.0018928639030852,-0.0018892877385225,
