Code,is_lending
25200,True
25210,True
25220,True
25230,True
25240,True
25250,True
25260,True
25270,True
25280,True
25290,True
25300,True
25310,True
25330,True
253A0,True
254A0,False
25520,True
25530,True
25540,True
25550,True
25560,True
25570,True
25580,True
25590,True
255A0,True
25600,True
25610,True
25620,True
25630,True
25640,True
25650,True
25660,True
25670,True
25680,True
25690,True
256A0,True
25730,False
25790,True
257A0,True
25850,True
25860,False
25870,True
25880,False
258A0,True
25900,True
25930,True
25935,True
25940,True
25970,False
26020,True
26070,True
26120,False
26130,True
261A0,False
26200,True
26210,True
26220,True
26230,True
26240,True
26250,True
26260,True
26270,True
26280,True
26290,True
262A0,False
26300,True
26310,True
26320,True
26330,True
26340,True
26360,True
26370,True
26380,True
26390,True
26400,True
26410,True
26420,True
26430,True
26440,True
26450,True
26460,True
26470,True
26480,True
26490,True
264A0,False
26520,True
26530,False
26540,True
26560,False
26590,True
265A0,False
26640,True
26660,False
26670,True
26680,False
26690,True
26700,True
26730,False
26740,True
26760,True
26780,True
26810,True
26830,False
26850,True
26870,True
26890,True
268A0,False
26930,False
26940,True
26950,True
26980,True
269A0,False
27000,False
27020,True
27050,True
27080,False
27210,False
27220,True
27260,True
27300,True
27330,True
27340,True
27350,True
27360,False
27370,False
273A0,True
27420,True
27470,False
27490,True
274A0,False
27500,True
27510,True
27520,True
27530,False
27600,True
27620,False
27640,False
27670,False
27680,True
27690,False
276A0,False
27760,False
27780,True
277A0,False
27800,False
27820,True
27840,True
27880,False
27890,False
278A0,False
27900,False
27910,True
27920,True
27960,True
27980,False
28010,True
28020,True
28040,True
28050,False
28060,False
28090,True
280A0,False
28100,True
28110,True
28130,False
28140,False
28150,True
28160,True
28180,True
28190,True
281A0,False
28200,False
282A0,True
28310,False
28360,True
28370,True
28380,True
28390,True
283A0,True
28400,True
28410,True
28420,True
28430,True
28440,True
28450,True
28460,True
28470,True
28480,True
28490,True
28510,True
28520,True
28530,True
28540,True
28550,True
28560,True
28570,True
28580,True
28590,True
285A0,True
28600,True
28610,True
28620,True
28640,True
28650,True
28660,True
28670,True
28680,True
28690,True
286A0,True
28700,True
28710,True
28720,False
28740,True
28750,True
28760,False
28770,False
287A0,False
28820,True
28830,False
28840,True
288A0,False
28920,False
28940,False
28970,True
29010,False
29030,True
29040,True
29070,True
29080,True
290A0,False
29100,True
29110,False
29140,True
29150,True
29160,False
29170,False
29180,True
291A0,False
29220,True
29230,False
29240,True
29260,True
29270,False
29290,True
29300,True
29310,True
29320,False
29330,True
29340,False
29350,False
29360,True
29370,True
29380,True
295A0,True
29610,False
29620,False
296A0,True
29700,False
29710,True
29720,False
29750,True
29780,False
29790,True
297A0,False
29800,True
29810,False
29820,True
29830,False
29840,True
29860,True
29890,False
298A0,False
29910,False
29930,False
29970,False
29980,False
29990,False
299A0,True
30010,True
30020,True
30030,True
30040,True
300A0,False
30100,False
30110,False
30200,False
30210,False
30230,True
30240,False
30280,True
30300,False
30310,True
30340,True
30350,True
30360,True
30380,True
303A0,False
30400,False
30410,True
30420,True
30450,False
30460,True
30480,True
304A0,False
30500,True
30530,True
30540,False
30580,True
30590,True
30630,True
30640,True
30650,False
30670,True
30680,False
30690,True
30700,False
30710,False
30750,False
30760,True
30770,True
30790,True
30800,False
30820,True
30830,False
30860,True
30870,True
30880,True
30890,True
30910,False
30920,True
30930,True
30960,False
30970,True
30990,True
31010,True
31030,True
31040,True
31050,True
31060,True
31070,True
31090,True
31100,True
31110,False
31130,False
31160,True
31210,True
31230,False
31310,False
31320,True
31330,False
31340,True
31350,True
31370,True
31380,False
31390,True
313A0,True
31400,True
31430,False
31480,True
314A0,True
31500,True
31510,True
31530,False
31540,True
31560,True
31570,False
31590,True
315A0,True
31600,True
31610,False
31660,True
31670,True
31680,True
31690,False
316A0,True
31720,True
31730,False
31740,False
31750,False
31760,True
31770,False
31780,True
31790,True
31800,True
31810,False
31820,True
31830,True
31850,False
31860,True
31870,True
31890,False
318A0,True
31900,False
31910,True
31920,False
31930,True
31950,True
31960,True
31970,True
31990,True
319A0,False
32010,True
32020,False
32040,True
32050,True
32210,True
32220,True
32240,False
32260,True
32310,True
32320,True
32340,True
32360,False
32370,False
32380,False
323A0,False
32410,True
32420,True
32450,True
32460,False
32480,False
32490,True
324A0,False
32520,True
325A0,True
32610,False
32660,False
32670,False
32690,True
32760,True
32770,True
32790,True
32800,True
32810,True
32820,True
32830,True
32840,True
32860,False
32870,True
32880,True
32890,True
328A0,True
32900,True
32910,True
32920,True
32930,False
32950,True
32960,True
32970,False
32990,True
33000,False
33020,True
33060,False
33090,True
330A0,False
33150,True
33170,False
331A0,False
33200,True
33210,True
33230,False
33260,False
33290,True
332A0,True
33330,True
33490,True
334A0,False
33500,False
33520,False
33530,False
33550,False
33580,False
33590,True
335A0,False
33600,True
33610,False
336A0,False
33700,False
33710,True
33720,True
33740,True
33750,False
33770,True
33820,True
33860,True
33870,True
33880,True
338A0,False
33910,True
33920,False
33930,True
33950,True
33960,False
33970,True
33990,True
339A0,False
34010,True
34020,True
34050,True
34070,True
34090,False
340A0,False
34150,True
34160,False
34170,False
34180,False
341A0,False
34200,False
34210,False
34220,True
34230,True
34260,False
34310,True
34330,True
34340,False
34350,False
34360,True
34370,False
34390,False
343A0,False
34400,False
34410,False
34430,True
34440,True
34450,True
34460,True
34470,False
34490,True
34510,False
34520,True
34540,True
34550,True
34570,True
34590,True
345A0,False
34610,False
34620,True
34630,False
34650,True
34660,True
34670,False
34680,True
34690,False
346A0,True
34700,False
34710,True
34720,False
34740,False
34750,True
34760,True
34770,False
34790,True
34800,True
34810,True
34820,True
34840,True
34860,True
34870,True
34880,False
34890,True
348A0,True
34900,False
34910,False
34920,True
34940,False
34950,False
34960,False
34980,True
349A0,True
35010,True
350A0,True
35120,False
35130,False
35210,True
35240,False
35290,True
352A0,False
35360,False
35370,False
35380,True
35390,True
35420,True
35430,True
35440,True
35470,True
35480,True
35490,True
354A0,True
35500,False
35510,False
35530,True
35560,False
35570,False
35580,False
35590,True
35600,False
35610,True
35620,False
35630,True
35650,True
35660,False
35690,True
356A0,True
35710,True
35770,False
35800,True
35830,False
35910,True
35970,False
35980,False
36070,False
36080,True
36110,True
36120,True
36220,False
36230,False
36240,False
36250,False
36260,True
36270,True
36280,False
36320,True
36330,False
36340,False
36350,True
36360,True
36390,True
363A0,True
36400,True
36410,False
36450,True
36460,False
36470,False
36480,True
36490,True
364A0,True
36520,False
36530,True
36560,True
36570,True
36590,True
365A0,False
36600,True
36610,True
36620,True
36630,True
36640,True
36650,True
36670,True
36680,True
366A0,False
36700,False
36710,False
36720,False
36730,True
36740,True
36750,True
36760,True
36780,True
36790,True
367A0,False
36800,True
36820,True
36830,True
36860,True
36870,True
368A0,False
36900,True
36910,False
36920,True
36940,True
36950,False
36960,True
36970,True
36980,True
369A0,False
37080,True
37100,True
37120,True
37190,False
37230,False
37260,False
37270,False
372A0,False
37330,True
373A0,False
37410,True
37440,True
37470,True
37500,False
37530,False
37580,True
37600,False
37620,True
37630,False
37650,True
37660,False
37680,True
37690,True
376A0,True
37710,True
37720,False
37730,True
37740,True
37760,False
37770,False
37780,True
37790,False
37870,False
37880,True
378A0,False
37910,True
37930,True
37960,True
37980,False
37990,True
379A0,True
38000,False
38020,False
38030,False
38040,False
38070,True
380A0,True
38100,False
38150,False
38160,False
38170,True
381A0,True
38230,False
38250,False
38260,True
382A0,True
38340,True
38350,True
38360,True
38370,True
38390,True
383A0,True
38400,False
38410,False
38420,False
38430,True
38440,True
38450,False
38480,True
38500,False
38510,True
38530,True
38540,False
38560,False
38580,False
38610,True
38630,True
38640,True
38650,True
386A0,False
38770,True
38780,True
387A0,False
38800,True
38910,True
38920,True
38950,False
38960,False
39000,True
39010,True
39030,True
39040,False
39050,True
39070,False
39080,False
39090,False
39100,False
39110,False
39120,True
39130,False
39140,True
39150,True
39160,True
39170,True
39180,False
39200,True
39210,True
39220,True
39230,True
39250,False
39260,False
39270,False
39280,True
39290,False
392A0,False
39300,False
39310,False
39320,True
39330,True
39340,False
39350,False
39360,False
39370,True
39390,True
39400,True
39410,True
39430,False
39440,False
39450,False
39460,True
39470,True
39480,False
394A0,False
39500,True
39510,True
39530,False
39550,True
39580,False
395A0,False
39620,True
39630,True
39640,True
39650,False
39670,False
39680,True
39690,False
396A0,False
39700,False
39740,False
39760,False
39790,False
39810,False
39830,True
39840,True
39850,False
39860,False
39870,True
39880,False
39890,False
39910,False
39920,True
39930,True
39940,True
39960,True
39970,True
39980,True
399A0,False
40040,True
40050,True
40080,True
40110,False
40120,True
40130,True
40140,False
40150,False
40160,False
40170,False
40190,True
401A0,False
40200,False
40210,True
40220,True
40230,True
40250,True
40260,True
40270,True
40280,True
402A0,False
40310,True
40400,False
40410,True
40420,True
40430,True
40440,True
40450,True
40460,True
40470,True
404A0,False
40510,False
40520,False
40530,True
40540,True
40550,True
40560,False
40570,False
40580,True
40590,False
40600,True
40610,True
40620,True
40630,True
40640,True
40680,False
40690,False
40710,True
40720,True
40730,False
40740,True
40750,False
40760,False
40780,True
407A0,False
40820,True
40880,True
408A0,False
40910,True
40920,True
40930,False
40940,False
40950,True
40970,True
40980,False
40990,True
409A0,True
41000,True
41020,False
41070,False
41090,True
410A0,False
41120,True
41130,False
41140,True
41160,True
41180,True
41190,False
41200,False
41240,False
41250,False
412A0,False
413A0,False
414A0,True
41510,True
415A0,False
41650,True
41660,False
41670,True
41680,True
41690,True
416A0,True
41700,True
41710,False
41720,False
41740,False
41750,False
41760,True
41770,False
41780,False
41790,False
417A0,True
41800,False
41820,True
41830,True
41860,True
41870,True
41880,True
41890,True
41920,True
41930,False
41940,True
41960,False
41970,False
41980,False
41990,False
42020,True
42030,True
42040,True
42050,True
42060,True
42080,True
42120,True
42160,True
42180,True
421A0,False
42200,True
42210,True
42220,False
42240,False
42280,True
42290,True
42310,True
42340,False
42350,False
42370,True
42380,False
423A0,False
42400,False
42410,False
42420,True
42430,False
42450,True
42460,True
42470,False
42480,True
42490,True
424A0,False
42510,True
42550,False
42560,False
42580,True
42590,False
425A0,False
42600,False
42610,False
42620,True
42630,True
42640,False
42650,False
426A0,False
42700,False
42720,True
42740,False
42750,True
42840,False
42860,True
42870,False
42880,True
428A0,False
42900,True
42930,True
42990,True
429A0,True
43010,True
43070,True
43080,False
43100,True
43160,False
43170,False
43180,True
431A0,False
43200,False
43230,True
43240,True
43260,True
43310,False
43340,False
43350,False
43370,True
43410,False
43430,True
43440,True
43450,True
43460,True
43470,True
43500,False
43510,True
43560,False
435A0,True
43600,False
43610,False
43620,True
43650,False
43660,False
43680,True
43690,True
436A0,False
43700,False
43710,True
43720,False
43730,True
43740,False
43750,True
43760,False
43770,False
43780,False
43790,False
43800,False
43810,False
43820,True
43850,True
43860,True
43870,False
43880,True
438A0,False
43900,True
43910,False
43920,True
43930,True
43940,False
43950,False
43960,True
43970,False
43980,False
44010,True
44030,True
44040,True
44060,True
44090,False
44100,True
44120,False
44130,False
44140,False
44150,False
44160,False
44170,False
44180,True
44190,False
441A0,True
44200,True
44210,False
44220,False
44240,True
44250,True
44270,False
44280,True
44290,True
442A0,False
44300,False
44310,True
44320,True
44330,False
44340,True
44360,True
44370,False
44380,False
44390,True
443A0,False
44400,True
44410,False
44420,True
44430,True
44440,False
44450,False
44460,True
44470,True
44480,True
44500,False
44520,True
44610,True
44620,True
44630,False
44640,True
44650,True
446A0,True
44710,True
44750,True
44760,False
44770,True
44780,True
44790,False
447A0,False
44800,True
44810,True
44820,True
44830,True
44840,False
44860,True
44870,False
44880,False
448A0,False
44900,False
44910,False
44920,False
44930,True
44950,True
44960,False
44980,True
44990,True
449A0,False
45020,True
45030,True
45060,True
45070,True
450A0,False
45120,True
45160,True
45190,True
451A0,False
45210,True
45230,True
45240,True
45260,True
45270,True
45280,True
452A0,False
45310,True
45340,True
45360,True
45380,True
45390,False
453A0,False
45400,True
45430,True
45440,True
45470,True
45480,True
45490,True
45520,True
45530,True
45540,True
45580,False
45590,True
45630,False
45640,True
45650,True
45680,True
45690,True
456A0,True
45700,False
45710,False
45720,False
45740,True
45750,False
45760,False
45770,True
45780,True
45790,False
45820,False
45830,False
45840,False
45860,False
45870,True
45880,False
45910,False
45920,False
45930,True
45940,False
45950,False
45960,False
45970,True
45980,False
45990,False
459A0,False
460A0,False
46110,True
46120,True
46130,True
46150,False
46160,False
46170,True
46190,True
461A0,False
46200,True
46230,True
46240,False
46250,False
46260,True
46270,False
46280,False
46290,False
462A0,False
46310,True
46330,True
46340,True
46350,False
463A0,True
46410,True
46420,False
46440,True
46450,False
464A0,True
46500,False
46510,True
46570,False
46580,True
465A0,False
46610,True
46620,False
46640,False
46650,True
46660,True
46670,False
46680,True
466A0,False
46710,True
46730,False
46740,True
46760,True
46780,True
46790,False
467A0,False
46800,True
46810,True
46840,False
46850,False
46860,True
46870,True
46890,True
468A0,False
46910,False
46940,True
469A0,False
47040,True
47050,False
47070,False
47090,True
47120,True
47140,True
47160,True
47180,True
47190,True
471A0,False
47200,False
47220,True
47250,True
47280,False
472A0,False
47320,True
47330,False
47350,False
47360,False
473A0,False
47430,True
47460,True
47500,True
47510,True
47520,False
47540,False
47550,True
475A0,False
47600,False
47610,False
47620,False
47630,True
47650,True
47660,False
47670,False
47680,True
476A0,False
47710,True
47720,False
47760,True
47770,False
477A0,False
47830,True
47840,False
478A0,False
47920,True
479A0,False
48000,True
48010,False
48090,False
480A0,False
48110,False
48120,True
48130,True
48140,True
48160,True
48190,True
48200,True
48250,True
48260,True
48280,True
48290,True
48320,False
48330,False
48380,False
48390,True
483A0,False
48400,False
48450,True
48470,True
48480,True
48490,True
485A0,False
486A0,False
48750,False
487A0,False
48800,True
48810,False
48820,False
48830,False
48840,False
48850,True
48860,True
48870,True
48880,False
48890,False
488A0,False
48900,False
48910,False
48920,False
48930,True
48940,False
48960,False
489A0,False
49010,True
49020,True
49110,True
49120,True
49140,True
49180,False
49190,True
491A0,True
49200,False
49220,True
49230,True
49250,True
49260,False
49270,True
49280,True
49290,True
492A0,False
49310,True
49320,False
49330,True
49340,True
49350,False
49360,True
49370,False
49510,True
49560,True
49580,True
495A0,False
49600,True
49660,False
49670,True
49680,True
496A0,False
49700,False
49710,True
49720,False
49730,False
49750,True
49760,False
49770,True
49780,False
49790,False
49800,True
49850,True
498A0,False
49900,False
49920,True
49940,True
49960,True
49970,True
49980,True
499A0,False
500A0,False
50100,False
50110,True
50130,True
50150,False
50160,True
50180,True
50190,True
50200,True
50210,True
50250,False
50260,False
50270,False
50280,False
50290,False
502A0,False
50310,False
50320,True
50330,True
50340,False
50350,False
50360,True
50380,False
504A0,False
505A0,False
50710,True
50740,True
50760,True
50765,False
50780,False
50790,False
509A0,False
51010,True
51030,False
51050,True
51080,True
51100,True
51210,True
51220,True
51250,False
51260,False
51290,True
512A0,False
51310,True
51320,True
51330,False
51340,False
51360,False
51370,True
51380,False
51390,False
513A0,True
51420,True
515A0,False
51610,False
51620,True
516A0,False
517A0,False
51840,True
51850,True
51860,True
51870,False
51890,False
518A0,False
51920,True
51940,False
51950,True
51990,False
519A0,False
52010,True
52020,True
52040,True
52080,True
520A0,False
52100,True
52140,True
52160,False
52180,True
521A0,True
52320,True
52330,True
52370,True
523A0,False
52400,True
52420,False
52430,False
52440,True
52460,False
52470,False
52480,False
52500,False
52520,False
52530,True
52540,False
52550,False
52560,False
52570,False
52580,True
52610,False
52620,True
52680,False
52690,True
526A0,False
52710,False
52730,True
52790,False
52800,False
52820,False
52830,False
52840,False
52850,True
52870,False
52880,False
52900,True
53010,True
53020,True
53040,True
530A0,False
53100,True
531A0,False
532A0,False
53310,True
53320,True
53330,True
53340,True
53370,True
533A0,False
53410,True
53440,True
534A0,False
53510,True
53550,False
53560,True
53570,True
535A0,False
53630,True
53670,True
53680,False
536A0,False
537A0,False
53800,False
53810,True
53840,True
53880,True
538A0,False
53910,True
53930,True
539A0,False
54010,True
54060,True
54080,True
